experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,classifier_key,model_source,id_accuracy,id_macro_f1,has_raw_decision_scores,msp_confidence_threshold,id_mean_confidence,ood_mean_confidence,ood_p90_confidence,ood_high_conf_count,ood_high_conf_rate,score_seconds
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Margin,Margin,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.808649307026569,0.7856106455046112,0.594758064516129,0.09232109785079956,0.7774936061381074,0.7125,0.8555347091932458,0.8555347091932458,0.3709677419354839,0.7463556851311953,0.742283483628881,312,184,77,456,0.0001789173111319542,lr_margin,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.6736434102058411,0.9661716818809509,115,0.21575984990619138,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Margin,Margin,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9224952159650083,0.9572436389951104,0.31451612903225806,0.09232109785079956,0.9140127388535032,0.8618618618618619,0.9728813559322034,0.9728813559322034,0.3709677419354839,0.8711217183770883,0.8009568069983597,312,184,32,1148,0.0001789173111319542,lr_margin,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.38318851590156555,0.7682386636734009,49,0.04152542372881356,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Margin,Margin,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.8805653592536167,0.9540658765469701,0.4642137096774194,0.09232109785079956,0.9050705848458658,0.8918381831085876,0.9187015645562217,0.9187015645562217,0.3840725806451613,0.8506177037288905,0.7673144919555301,1222,762,556,6283,0.0001789173111319542,lr_margin,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.4816075265407562,0.9168469309806824,768,0.11229711946190964,0.006525999866425991
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Margin,Margin,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7930122457678264,0.7651877455439193,0.6013104838709677,0.09232109785079956,0.7475707190671561,0.694344163658243,0.8096351730589336,0.8096351730589336,0.3840725806451613,0.7163998059194566,0.7127812962068862,1222,762,407,1731,0.0001789173111319542,lr_margin,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.6943029165267944,0.9698792695999146,540,0.25257249766136575,0.006525999866425991
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Margin,Margin,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.920384239626435,0.9554021932522035,0.3180443548387097,0.09232109785079956,0.909036445332002,0.8566051938276251,0.9683046160391406,0.9683046160391406,0.3840725806451613,0.8637247569184742,0.7921160176969897,1222,762,149,4552,0.0001789173111319542,lr_margin,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.3848743140697479,0.7724338173866272,228,0.048500319081046586,0.006525999866425991
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.937044517258912,0.9813991539550717,0.36088709677419356,-9.52241325378418,0.9261055634807418,0.9056919642857143,0.9474605954465849,0.9474605954465849,0.3407258064516129,0.882752376641014,0.803367394497486,327,169,90,1623,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.4735635817050934,0.8940969109535217,164,0.09573847051955633,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.8255386431035525,0.8164472631526323,0.6169354838709677,-9.52241325378418,0.7801911381407471,0.7265372168284789,0.8424015009380863,0.8424015009380863,0.3407258064516129,0.7541302235179786,0.7508378472432367,327,169,84,449,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.6736434102058411,0.9661716818809509,115,0.21575984990619138,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9874111536358667,0.9945364224821067,0.06048387096774194,-9.52241325378418,0.9306381292112564,0.874162323157111,0.9949152542372881,0.9949152542372881,0.3407258064516129,0.8955847255369929,0.8270947238928377,327,169,6,1174,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.38318851590156555,0.7682386636734009,49,0.04152542372881356,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.9321974907315256,0.980184021104111,0.4022177419354839,-9.52241325378418,0.9156157670966347,0.9026712134129014,0.9289369790905103,0.9289369790905103,0.34526209677419356,0.86727870338887,0.7918374411581584,1299,685,486,6353,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.4816075265407562,0.9168469309806824,768,0.11229711946190964,0.00584258371964097
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8098045590165666,0.8061654008767914,0.6527217741935484,-9.52241325378418,0.7467258601553829,0.710604140261935,0.7867165575304023,0.7867165575304023,0.34526209677419356,0.7231926249393499,0.7207272303781044,1299,685,456,1682,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.6943029165267944,0.9698792695999146,540,0.25257249766136575,0.00584258371964097
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9878614107499434,0.9948443662994085,0.057459677419354836,-9.52241325378418,0.9289052401312519,0.8721060492905153,0.9936183790682833,0.9936183790682833,0.34526209677419356,0.8930441286462228,0.8241781411470449,1299,685,30,4671,0.00021458277478814125,lr_max_logit,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.3848743140697479,0.7724338173866272,228,0.048500319081046586,0.00584258371964097
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.9377695233790936,0.9818818108084703,0.3467741935483871,-9.661263465881348,0.9276522733771805,0.9091928251121076,0.9468768242848803,0.9468768242848803,0.32661290322580644,0.8854685377999094,0.810131960529537,334,162,91,1622,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.4735635817050934,0.8940969109535217,164,0.09573847051955633,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.8208822550384314,0.8066552332197221,0.6108870967741935,-9.661263465881348,0.7817703768624014,0.7335526315789473,0.8367729831144465,0.8367729831144465,0.32661290322580644,0.7580174927113703,0.75508003994432,334,162,87,446,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.6736434102058411,0.9661716818809509,115,0.21575984990619138,
