model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
LR,Energy,C=10.0,Near-OOD,0.9137096774193548,0.9139216536937969,0.8092012022801658,0.8004103190317245,0.6512096774193549,-9.941099166870117,0.7748472177549051,0.6791654919650408,0.901909397229502,0.901909397229502,0.4588709677419355,0.72820811492914,0.7215192147437832,0.44303842948756655,1342,1138,262,2409
LR,Energy,C=10.0,Far-OOD,0.9137096774193548,0.9139216536937969,0.9907156932384771,0.9961497739435363,0.034274193548387094,-8.28780460357666,0.969442780107849,0.9760427438814202,0.962931474239075,0.962931474239075,0.05604838709677419,0.9573017581628992,0.9534415435711504,0.9068830871423008,2341,139,218,5663
LR,Energy,C=100.0,Overall,0.9229838709677419,0.923195964748211,0.9209247176664956,0.9771193904474769,0.4612903225806452,-13.645878791809082,0.9155228852007121,0.8995598690892675,0.9320626753975678,0.9320626753975678,0.3588709677419355,0.866660623640319,0.7865958538278162,0.5731917076556323,1590,890,581,7971
LR,Energy,C=100.0,Near-OOD,0.9229838709677419,0.923195964748211,0.7836779598072486,0.784238936279417,0.7544354838709677,-13.678373336791992,0.7513908205841446,0.7013956507627394,0.8090602770497941,0.8090602770497941,0.3709677419354839,0.722384003106193,0.7190462675571552,0.43809253511431023,1560,920,510,2161
LR,Energy,C=100.0,Far-OOD,0.9229838709677419,0.923195964748211,0.9832586898212394,0.9931597086325913,0.08346774193548387,-12.161728858947754,0.9581852039952599,0.9539861789988202,0.9624213569120897,0.9624213569120897,0.11008064516129032,0.9409161583542639,0.9261703558753998,0.8523407117507994,2207,273,221,5660
MLP,Entropy,"hidden=256, lr=0.001, alpha=0.001",Overall,0.9217741935483871,0.921842540919282,0.8781131182292767,0.9591860058906044,0.49959677419354837,0.0032337517477571964,0.907535595700377,0.874796571552566,0.942820392890552,0.942820392890552,0.4653225806451613,0.8510696156635243,0.7387489061226953,0.4774978122453907,1326,1154,489,8063
MLP,Entropy,"hidden=256, lr=0.001, alpha=0.001",Near-OOD,0.9217741935483871,0.921842540919282,0.7725972512409272,0.7756796120620344,0.8237903225806451,0.0020897891372442245,0.7445859872611464,0.6478248822388474,0.8753275926619244,0.8753275926619244,0.5125,0.6886041545331004,0.6814137963309622,0.36282759266192444,1209,1271,333,2338
MLP,Entropy,"hidden=256, lr=0.001, alpha=0.001",Far-OOD,0.9217741935483871,0.921842540919282,0.9260357301534191,0.9646095609772749,0.2842741935483871,0.020668720826506615,0.9186084673449294,0.8875852227683526,0.9518789321543956,0.9518789321543956,0.28588709677419355,0.8813539050352829,0.832995917690101,0.665991835380202,1771,709,283,5598
MLP,Entropy,"hidden=512, lr=0.001, alpha=0.001",Overall,0.9201612903225806,0.92028757362945,0.8899957376505023,0.9627575903684791,0.4415322580645161,0.004693971015512943,0.9153487313687564,0.8913139818302681,0.9407156220767072,0.9407156220767072,0.39556451612903226,0.8651196519216824,0.7725755529738375,0.545151105947675,1499,981,507,8045
MLP,Entropy,"hidden=512, lr=0.001, alpha=0.001",Near-OOD,0.9201612903225806,0.92028757362945,0.7948758167171894,0.7914427191561235,0.7467741935483871,0.004704241640865803,0.7655906709481156,0.6977818853974121,0.847997004867091,0.847997004867091,0.39556451612903226,0.7307318967190837,0.7262162443690294,0.4524324887380587,1499,981,406,2265
MLP,Entropy,"hidden=512, lr=0.001, alpha=0.001",Far-OOD,0.9201612903225806,0.92028757362945,0.9331967763876016,0.9676607495584439,0.25040322580645163,0.021175814792513847,0.925360824742268,0.8984625240230621,0.9539194014623363,0.9539194014623363,0.25564516129032255,0.8917593589283579,0.849137120086007,0.6982742401720138,1846,634,271,5610
