model,score,split,id_accuracy,id_macro_f1,has_raw_decision_scores,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,tn,fp,fn,tp
MLP,MaxLogit_logprob_proxy,Far-OOD,0.9181451612903225,0.91809492232391,False,0.916298454289648,0.9547713218976346,0.30282258064516127,0.00024017595569603145,0.9150455552819503,0.8844811171056808,0.9477979935385139,0.9477979935385139,0.29354838709677417,0.876210979547901,1752,728,307,5574
GNB,MSP,Overall,0.8814516129032258,0.8810780675140442,False,0.7256170269546456,0.8735919044047721,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
GNB,MSP,Near-OOD,0.8814516129032258,0.8810780675140442,False,0.6535852525935677,0.6392648261307494,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
GNB,MSP,Far-OOD,0.8814516129032258,0.8810780675140442,False,0.7583320191869937,0.8492602571100698,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
GNB,Entropy,Overall,0.8814516129032258,0.8810780675140442,False,0.8376211752014243,0.9276483661505318,0.5278225806451613,1.7146593578250495e-42,0.9040648575610855,0.8717698154180239,0.938844714686623,0.938844714686623,0.4762096774193548,0.845540246555475,1299,1181,523,8029
GNB,Entropy,Near-OOD,0.8814516129032258,0.8810780675140442,False,0.7677653349597228,0.738669223558919,0.7068548387096775,6.319644188876594e-39,0.7484498072733367,0.6774878640776699,0.8360164732309996,0.8360164732309996,0.42862903225806454,0.7086002717918851,1417,1063,438,2233
GNB,Entropy,Far-OOD,0.8814516129032258,0.8810780675140442,False,0.8693479137298352,0.9141671466426938,0.3616935483870968,1.1495184227244287e-32,0.9041473906338772,0.8649068322981367,0.9471178371025336,0.9471178371025336,0.35080645161290325,0.8587489534744648,1610,870,311,5570
GNB,Margin,Overall,0.8814516129032258,0.8810780675140442,False,0.753689808458312,0.885809620548844,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
GNB,Margin,Near-OOD,0.8814516129032258,0.8810780675140442,False,0.6712457428050385,0.6535673999257086,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
GNB,Margin,Far-OOD,0.8814516129032258,0.8810780675140442,False,0.7911337974669657,0.8675028103638223,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
GNB,MaxLogit_logprob_proxy,Overall,0.8814516129032258,0.8810780675140442,False,0.7256170269546456,0.8735919044047721,1.0,-0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
GNB,MaxLogit_logprob_proxy,Near-OOD,0.8814516129032258,0.8810780675140442,False,0.6535852525935677,0.6392648261307494,1.0,-0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
GNB,MaxLogit_logprob_proxy,Far-OOD,0.8814516129032258,0.8810780675140442,False,0.7583320191869937,0.8492602571100698,1.0,-0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
LDA,MSP,Overall,0.9008064516129032,0.9010289105232726,True,0.6831639788089562,0.8545356039968457,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
LDA,MSP,Near-OOD,0.9008064516129032,0.9010289105232726,True,0.5949482796101496,0.5868200449419902,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
LDA,MSP,Far-OOD,0.9008064516129032,0.9010289105232726,True,0.7232292963671967,0.8289508436436108,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
LDA,Entropy,Overall,0.9008064516129032,0.9010289105232726,True,0.7903488667053924,0.9131325313215795,0.7193548387096774,4.5899227334968525e-200,0.8842049656629688,0.806417421468491,0.978601496725912,0.978601496725912,0.8100806451612903,0.8013052936910805,471,2009,183,8369
LDA,Entropy,Near-OOD,0.9008064516129032,0.9010289105232726,True,0.7456057293994034,0.7046729215724343,0.6366935483870968,3.143019228713206e-124,0.753168202764977,0.6119822139012403,0.9790340696368401,0.9790340696368401,0.6685483870967742,0.6672490778489614,822,1658,56,2615
LDA,Entropy,Far-OOD,0.9008064516129032,0.9010289105232726,True,0.8106700569356758,0.8941200623656087,0.7620967741935484,1.9964042986653206e-70,0.8481294904616401,0.8245022479126526,0.8731508246896786,0.8731508246896786,0.4407258064516129,0.7800502332256907,1387,1093,746,5135
LDA,Margin,Overall,0.9008064516129032,0.9010289105232726,True,0.6851352683016989,0.8552960414201785,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
