model,score,hyperparameters,split,threshold_source,id_percentile,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,50,0.0001466802932554856,0.902549733818997,0.8665662326482299,0.9416510757717493,0.9416510757717493,0.5,0.8423676577229877,0.7208255378858747,0.44165107577174934,1240,1240,499,8053
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,60,0.0005726618110202253,0.8995099452291727,0.8871829864665074,0.9121842843779233,0.9121842843779233,0.4,0.8420050761421319,0.7560921421889617,0.5121842843779233,1488,992,751,7801
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,70,0.002207851503044367,0.8922123577429542,0.9096100109342729,0.875467726847521,0.875467726847521,0.3,0.836022480058013,0.7877338634237605,0.575467726847521,1736,744,1065,7487
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,80,0.014948633499443531,0.8555527447508222,0.9316804407713498,0.7909260991580916,0.7909260991580916,0.2,0.7929659173313995,0.7954630495790458,0.5909260991580916,1984,496,1788,6764
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,90,0.10724179446697235,0.7656918437478084,0.9565445943578063,0.6383302151543498,0.6383302151543498,0.1,0.6971537345902828,0.7691651075771749,0.5383302151543499,2232,248,3093,5459
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,95,0.37296897172927856,0.6311139160618492,0.9699321047526673,0.4677268475210477,0.4677268475210477,0.05,0.5761421319796954,0.7088634237605238,0.4177268475210477,2356,124,4552,4000
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,id_percentile,99,0.815784752368927,0.3905047851379246,0.9881291547958214,0.24333489242282508,0.24333489242282508,0.010080645161290322,0.41116751269035534,0.6166271236307673,0.23325424726153476,2455,25,6471,2081
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,50,0.0001466802932554856,0.7264734614132204,0.6427542494958225,0.8352676900037439,0.8352676900037439,0.5,0.6738497379149679,0.667633845001872,0.3352676900037439,1240,1240,440,2231
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,60,0.0005726618110202253,0.7190068193740164,0.6745406824146981,0.7697491576188693,0.7697491576188693,0.4,0.6880217433508057,0.6848745788094346,0.3697491576188693,1488,992,615,2056
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,70,0.002207851503044367,0.7142319277108434,0.7182885270730783,0.7102208910520404,0.7102208910520404,0.3,0.7052999417588818,0.7051104455260202,0.41022089105204046,1736,744,774,1897
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,80,0.014948633499443531,0.6549161180717774,0.7566241413150148,0.577311868214152,0.577311868214152,0.2,0.6845272762570375,0.688655934107076,0.377311868214152,1984,496,1129,1542
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,90,0.10724179446697235,0.5459526774595268,0.8154761904761905,0.4103332085361288,0.4103332085361288,0.1,0.6460881382255873,0.6551666042680644,0.3103332085361288,2232,248,1575,1096
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,95,0.37296897172927856,0.39321644150617996,0.8465346534653465,0.25608386372145264,0.25608386372145264,0.05,0.5901766647252961,0.6030419318607263,0.20608386372145265,2356,124,1987,684
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,id_percentile,99,0.815784752368927,0.1355463347164592,0.8868778280542986,0.07338075627105953,0.07338075627105953,0.010080645161290322,0.51465734808775,0.5316500555548845,0.0633001111097692,2455,25,2475,196
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,50,0.0001466802932554856,0.8996368693502279,0.8244123477768338,0.989967692569291,0.989967692569291,0.5,0.8446358091137424,0.7449838462846454,0.48996769256929096,1240,1240,59,5822
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,60,0.0005726618110202253,0.910603899191631,0.8527534510909901,0.9768746811766706,0.9768746811766706,0.4,0.8650879081449587,0.7884373405883354,0.5768746811766706,1488,992,136,5745
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,70,0.002207851503044367,0.9152681129758493,0.8825386801389328,0.950518619282435,0.950518619282435,0.3,0.876210979547901,0.8252593096412175,0.650518619282435,1736,744,291,5590
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,80,0.014948633499443531,0.9004224502112251,0.9132563833508219,0.8879442271722496,0.8879442271722496,0.2,0.8618586293505561,0.8439721135861249,0.6879442271722496,1984,496,659,5222
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,90,0.10724179446697235,0.8316812809759817,0.9462155714595533,0.7418806325454854,0.7418806325454854,0.1,0.7887812462624088,0.8209403162727427,0.6418806325454854,2232,248,1518,4363
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,95,0.37296897172927856,0.7115116403819333,0.963953488372093,0.5638496854276484,0.5638496854276484,0.05,0.6783877526611649,0.7569248427138242,0.5138496854276483,2356,124,2565,3316
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,id_percentile,99,0.815784752368927,0.48389166987549737,0.9869109947643979,0.3205237204557048,0.3205237204557048,0.010080645161290322,0.5190766654706375,0.6552215376472073,0.3104430752944145,2455,25,3996,1885
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,50,1.0767287015914917,0.9218827415359208,0.8710080099864767,0.9790692235734331,0.9790692235734331,0.5,0.8713741841914431,0.7395346117867165,0.47906922357343307,1240,1240,179,8373
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,60,1.1271179914474487,0.9269773455506212,0.8926058244018621,0.9641019644527596,0.9641019644527596,0.4,0.8822516316171138,0.7820509822263798,0.5641019644527596,1488,992,307,8245
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,70,1.213979959487915,0.924011806238787,0.9147473358542454,0.933465855940131,0.933465855940131,0.3,0.8809825960841189,0.8167329279700655,0.6334658559401309,1736,744,569,7983
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,80,1.3604300022125244,0.9105358217941,0.938446264581782,0.8842376052385407,0.8842376052385407,0.2,0.8653009427121102,0.8421188026192703,0.6842376052385406,1984,496,990,7562
