experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,score_seconds,model_key,model_source,near_ood_percent,near_ood_ratio,near_ood_count,far_ood_count,ood_total,sampling_seed
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-020pct,4122,1984,2138,0.9451418174205619,0.961174304621259,0.43497983870967744,-0.03915564715862274,0.8585748529091305,0.8037535699714402,0.921421889616464,0.921421889616464,0.24243951612903225,0.8425521591460456,0.8394911867437158,1503,481,168,1970,0.0023506670258939266,0.003263582941144705,radius,loaded,20,0.2,428,1710,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-030pct,4122,1984,2138,0.9193484734753614,0.9425856331891098,0.5826612903225806,-0.03915564715862274,0.8385809312638581,0.7972175379426644,0.8844714686623012,0.8844714686623012,0.24243951612903225,0.8233867054827754,0.8210159762666345,1503,481,247,1891,0.0023506670258939266,0.003263582941144705,radius,loaded,30,0.3,641,1497,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-040pct,4122,1984,2138,0.8869001591780078,0.9192355399831766,0.6597782258064516,-0.03915564715862274,0.812514169122648,0.7883853937527496,0.8381665107577175,0.8381665107577175,0.24243951612903225,0.7993692382338671,0.7978634973143426,1503,481,346,1792,0.0023506670258939266,0.003263582941144705,radius,loaded,40,0.4,855,1283,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-050pct,4122,1984,2138,0.8611888560306586,0.898103678563022,0.6915322580645161,-0.03915564715862274,0.7897412199630314,0.780365296803653,0.7993451824134705,0.7993451824134705,0.24243951612903225,0.7792333818534692,0.7784528331422191,1503,481,429,1709,0.0023506670258939266,0.003263582941144705,radius,loaded,50,0.5,1069,1069,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-060pct,4122,1984,2138,0.8358976583481699,0.8756574176640455,0.7162298387096774,-0.03915564715862274,0.7669491525423728,0.7720379146919432,0.7619270346117867,0.7619270346117867,0.24243951612903225,0.759825327510917,0.7597437592413772,1503,481,509,1629,0.0023506670258939266,0.003263582941144705,radius,loaded,60,0.6,1283,855,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-070pct,4122,1984,2138,0.8110961122091795,0.8516678199954548,0.7368951612903226,-0.03915564715862274,0.7426788286125781,0.7628205128205128,0.7235734331150608,0.7235734331150608,0.24243951612903225,0.739932071809801,0.7405669584930143,1503,481,591,1547,0.0023506670258939266,0.003263582941144705,radius,loaded,70,0.7,1497,641,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-080pct,4122,1984,2138,0.7840726277950452,0.8241300767163896,0.7767137096774194,-0.03915564715862274,0.7155468366846494,0.7520618556701031,0.6824134705332086,0.6824134705332086,0.24243951612903225,0.7185832120329937,0.7199869772020882,1503,481,679,1459,0.0023506670258939266,0.003263582941144705,radius,loaded,80,0.8,1710,428,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-090pct,4122,1984,2138,0.7584714196264222,0.7937100821632359,0.7988911290322581,-0.03915564715862274,0.6888610763454318,0.7409800753904147,0.6435921421889617,0.6435921421889617,0.24243951612903225,0.6984473556525959,0.7005763130299647,1503,481,762,1376,0.0023506670258939266,0.003263582941144705,radius,loaded,90,0.9,1924,214,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Near-OOD-ratio-100pct,4122,1984,2138,0.7333737722170253,0.7527781497124871,0.8160282258064516,-0.03915564715862274,0.6624106230847804,0.7294713160854893,0.6066417212347989,0.6066417212347989,0.24243951612903225,0.6792819019893256,0.6821011025528834,1503,481,841,1297,0.0023506670258939266,0.003263582941144705,radius,loaded,100,1.0,2138,0,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-000pct,4122,1984,2138,0.9943736043634389,0.9941636103541515,0.03125,3.3272268772125244,0.8627925746569814,0.758694109297374,1.0,1.0,0.34274193548387094,0.8350315380883067,0.8286290322580645,1304,680,0,2138,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,0,0.0,0,2138,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-010pct,4122,1984,2138,0.975801500875102,0.9808201455043267,0.12600806451612903,3.3272268772125244,0.8537726255847061,0.7553076646275638,0.9817586529466792,0.9817586529466792,0.34274193548387094,0.8255701115963124,0.819508358731404,1304,680,39,2099,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,10,0.1,214,1924,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-020pct,4122,1984,2138,0.9609839426355653,0.9688680896913894,0.2242943548387097,3.3272268772125244,0.8481504189658696,0.7531760435571688,0.970533208606174,0.970533208606174,0.34274193548387094,0.8197476952935469,0.8138956365611515,1304,680,63,2075,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,20,0.2,428,1710,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-030pct,4122,1984,2138,0.9456225104861342,0.955981560515811,0.30443548387096775,3.3272268772125244,0.8415210688591983,0.7506417308397506,0.9574368568755847,0.9574368568755847,0.34274193548387094,0.8129548762736536,0.8073474606958568,1304,680,91,2047,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,30,0.3,641,1497,2138,77
