experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,validation_selection_metric,validation_selection_group,validation_selected_model_key,validation_selected_hyperparameters,validation_selected_score,validation_selection_rank,is_validation_selected,score_seconds
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,validation,Overall,2209,496,1713,0.8842049884187333,0.9683836977474523,0.717741935483871,0.022570615634322166,0.8546952224052718,0.981089258698941,0.7571511967308815,0.7571511967308815,0.05040322580645161,0.8003621548211861,0.8533739854622149,471,25,416,1297,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,validation,Near-OOD,1029,496,533,0.645622768262422,0.6951450468512042,0.9637096774193549,0.022570615634322166,0.39655172413793105,0.8466257668711656,0.2589118198874296,0.2589118198874296,0.05040322580645161,0.5918367346938775,0.6042542970404889,471,25,395,138,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,validation,Far-OOD,1676,496,1180,0.9919713641334063,0.9963108953441613,0.028225806451612902,0.022570615634322166,0.9805414551607445,0.9788851351351351,0.9822033898305085,0.9822033898305085,0.05040322580645161,0.9725536992840096,0.9659000820120285,471,25,21,1159,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,eval,Overall,8823,1984,6839,0.8825818567843818,0.9679950734055662,0.7258064516129032,0.022570615634322166,0.8503559013408376,0.9797825672325005,0.7511332066091534,0.7511332066091534,0.05342741935483871,0.795081038195625,0.8488528936271573,1878,106,1702,5137,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,eval,Near-OOD,4122,1984,2138,0.6387425408883793,0.6883174589463503,0.9546370967741935,0.022570615634322166,0.3827027027027027,0.8335949764521193,0.24836295603367634,0.24836295603367634,0.05342741935483871,0.5844250363901019,0.5974677683394188,1878,106,1607,531,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_id95,eval,Far-OOD,6685,1984,4701,0.9934792099827765,0.9971285509918617,0.025201612903225805,0.022570615634322166,0.978646552639966,0.9775042444821732,0.9797915337162306,0.9797915337162306,0.05342741935483871,0.9699326851159312,0.9631820571806959,1878,106,95,4606,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,2,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,validation,Overall,2209,496,1713,0.8842049884187333,0.9683836977474523,0.717741935483871,-0.187808558344841,0.8818283166109253,0.8437333333333333,0.9235259778166959,0.9235259778166959,0.5907258064516129,0.8080579447713898,0.6664000856825415,203,293,131,1582,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,validation,Near-OOD,1029,496,533,0.645622768262422,0.6951450468512042,0.9637096774193549,-0.187808558344841,0.6558177379983726,0.5790229885057471,0.7560975609756098,0.7560975609756098,0.5907258064516129,0.5889212827988338,0.5826858772619985,203,293,130,403,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9919713641334063,0.9963108953441613,0.028225806451612902,-0.187808558344841,0.8891402714932126,0.8009510869565217,0.9991525423728813,0.9991525423728813,0.5907258064516129,0.8245823389021479,0.7042133679606342,203,293,1,1179,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,eval,Overall,8823,1984,6839,0.8825818567843818,0.9679950734055662,0.7258064516129032,-0.187808558344841,0.8809108053363135,0.8432736025675315,0.9220646293317737,0.9220646293317737,0.5907258064516129,0.806755071970985,0.6656694114400804,812,1172,533,6306,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,0.0027024587616324425
