experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_source,model_key,score_seconds
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,validation,Overall,2209,496,1713,0.937702436773817,0.9824747072544192,0.3850806451612903,18.77642822265625,0.9229891614375356,0.9023982152816509,0.9445417396380619,0.9445417396380619,0.3528225806451613,0.8777727478497057,0.7958595794964503,321,175,95,1618,0.003989416174590588,loaded,global_mahalanobis,
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,validation,Near-OOD,1029,496,533,0.8005507474429583,0.7930102860389932,0.6975806451612904,18.77642822265625,0.7643979057591623,0.7145187601957586,0.8217636022514071,0.8217636022514071,0.3528225806451613,0.7376093294460642,0.7344705108031229,321,175,95,438,0.003989416174590588,loaded,global_mahalanobis,
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9996531574630946,0.9998551576332847,0.0,18.77642822265625,0.9309664694280079,0.8708487084870848,1.0,1.0,0.3528225806451613,0.8955847255369929,0.8235887096774194,321,175,0,1180,0.003989416174590588,loaded,global_mahalanobis,
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,eval,Overall,8823,1984,6839,0.9359572809998631,0.9817779581656867,0.41481854838709675,18.77642822265625,0.9165178890237806,0.8957286432160804,0.9382950723790028,0.9382950723790028,0.37651209677419356,0.8675053836563528,0.7808914878024047,1237,747,422,6417,0.003989416174590588,loaded,global_mahalanobis,1.8065025000832975
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7967494634343222,0.7782071750951416,0.6300403225806451,18.77642822265625,0.7459247989567486,0.6967113276492083,0.8026192703461179,0.8026192703461179,0.37651209677419356,0.7163998059194566,0.7130535867859622,1237,747,422,1716,0.003989416174590588,loaded,global_mahalanobis,1.8065025000832975
experiment1_overall_comparison,Distance/support/density,Global Mahalanobis,global_mahalanobis,"LedoitWolf shrinkage, threshold_percentile=95",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.999268558165387,0.9996719703594932,0.0020161290322580645,18.77642822265625,0.9263966893289979,0.862885462555066,1.0,1.0,0.37651209677419356,0.8882572924457741,0.8117439516129032,1237,747,0,4701,0.003989416174590588,loaded,global_mahalanobis,1.8065025000832975
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,validation,Overall,2209,496,1713,0.9609438261491817,0.9885330833228375,0.22782258064516128,-1420.341064453125,0.9455899198167239,0.9280494659921305,0.963806187974314,0.963806187974314,0.25806451612903225,0.9139882299683114,0.8528708359226409,368,128,62,1651,0.03332854202017188,loaded,gmm,
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,validation,Near-OOD,1029,496,533,0.8769366943049083,0.8599580777404934,0.3850806451612903,-1420.341064453125,0.8321554770318021,0.7863105175292153,0.8836772983114447,0.8836772983114447,0.25806451612903225,0.815354713313897,0.8128063910912062,368,128,62,471,0.03332854202017188,loaded,gmm,
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9988894204483325,0.9995237958831373,0.006048387096774193,-1420.341064453125,0.9485530546623794,0.9021406727828746,1.0,1.0,0.25806451612903225,0.9236276849642004,0.8709677419354839,368,128,0,1180,0.03332854202017188,loaded,gmm,
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,eval,Overall,8823,1984,6839,0.959058268163144,0.9876846646904732,0.24546370967741934,-1420.341064453125,0.9416828061114698,0.9242466910729372,0.9597894429010089,0.9597894429010089,0.2711693548387097,0.9078544712682761,0.8443100440311496,1446,538,275,6564,0.03332854202017188,loaded,gmm,0.19543437520042062
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8731444163221582,0.8457826240327708,0.38860887096774194,-1420.341064453125,0.82088565763384,0.775926697209496,0.8713751169317119,0.8713751169317119,0.2711693548387097,0.8027656477438136,0.8001028810465012,1446,538,275,1863,0.03332854202017188,loaded,gmm,0.19543437520042062
experiment1_overall_comparison,Distance/support/density,Gaussian Mixture,negative_log_likelihood,"n_components=62, covariance=full, reg_covar=1e-5",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9981316175007376,0.9990167848303306,0.005040322580645161,-1420.341064453125,0.9458752515090543,0.8973086466882992,1.0,1.0,0.2711693548387097,0.9195213163799552,0.8644153225806452,1446,538,0,4701,0.03332854202017188,loaded,gmm,0.19543437520042062
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,validation,Overall,2209,496,1713,0.9562348172419637,0.9870195813689405,0.24193548387096775,0.491537868976593,0.9416859122401847,0.9314677327241576,0.9521307647402218,0.9521307647402218,0.24193548387096775,0.9085559076505206,0.8550976404346271,376,120,82,1631,0.004129874985665083,loaded,one_class_svm,
