split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Far-OOD,centroid,0.9930210258843406,0.996489066257643,0.03669354838709677,0.1851569414138794,0.9755892255892256,0.9659943323887314,0.985376636626424,0.985376636626424,0.08225806451612903,0.9653151536897501,0.9515592860551475,0.903118572110295,2276,204,86,5795
Far-OOD,radius,0.9949796638710773,0.9977584800567018,0.020161290322580645,0.05096136033535004,0.9820752335268872,0.9721759413528823,0.9921782009862268,0.9921782009862268,0.06733870967741935,0.974524578399713,0.9624197456544037,0.9248394913088074,2313,167,46,5835
Far-OOD,mahalanobis,0.9939359117113066,0.9971047501250692,0.03225806451612903,5.864752769470215,0.976908815101972,0.968421052631579,0.9855466757354191,0.9855466757354191,0.07620967741935483,0.9672288003827293,0.9546684991580321,0.9093369983160643,2291,189,85,5796
Far-OOD,knn_distance,0.997697341356254,0.9989288586656019,0.010080645161290322,0.1197195053100586,0.9875518672199171,0.9836369770580297,0.9914980445502466,0.9914980445502466,0.039112903225806454,0.9824183710082526,0.9761925706622201,0.9523851413244402,2383,97,50,5831
Far-OOD,global_mahalanobis,0.9993461722002512,0.9997089703061316,0.0016129032258064516,36.7415885925293,0.9943119110281009,0.9928789420142421,0.9957490222751233,0.9957490222751233,0.016935483870967744,0.9919866044731491,0.9894067692020778,0.9788135384041555,2438,42,25,5856
Far-OOD,gaussian_mixture,0.9982935067000894,0.9991247409011867,0.005241935483870968,1628.2423095703125,0.9899092682099551,0.9873139377537212,0.992518279204217,0.992518279204217,0.03024193548387097,0.9857672527209664,0.981138171860173,0.962276343720346,2405,75,44,5837
Far-OOD,one_class_svm,0.9965159123695225,0.9976506876824132,0.010887096774193548,0.9511812329292297,0.9873010497798849,0.9831394368571911,0.9914980445502466,0.9914980445502466,0.04032258064516129,0.982059562253319,0.9755877319525427,0.9511754639050853,2380,100,50,5831
Far-OOD,pca_reconstruction,0.999381208484403,0.9997182758774256,0.0020161290322580645,4.634137076209299e-05,0.9948133662103562,0.9948979591836735,0.9947287876211529,0.9947287876211529,0.012096774193548387,0.9927042219830163,0.9913160067138023,0.9826320134276045,2450,30,31,5850
Far-OOD,isolation_forest,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.02673934483617657,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,0.7572429118374646,0.514485823674929,1394,1086,280,5601
Far-OOD,lof,0.9916453889233234,0.9945586485667371,0.02943548387096774,1.7730624675750732,0.9802464967077494,0.9733445096395641,0.9872470668253699,0.9872470668253699,0.06411290322580646,0.9720129171151776,0.9615670817997817,0.9231341635995635,2321,159,75,5806
Far-OOD,lr_msp,0.9480588458732604,0.9772671388913716,0.294758064516129,0.14196330308914185,0.9182976596985092,0.8999347045380346,0.9374256078898147,0.9374256078898147,0.24717741935483872,0.8826695371367062,0.845124094267488,0.6902481885349759,1867,613,368,5513
Far-OOD,lr_entropy,0.9689916543708279,0.9874386241502499,0.23870967741935484,0.9491592645645142,0.933344890352778,0.9519094766619519,0.9154905628294507,0.9154905628294507,0.10967741935483871,0.9080253558186819,0.902906571737306,0.8058131434746121,2208,272,497,5384
