split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Overall,lr_entropy,0.9187060563082772,0.9756899340258187,0.45161290322580644,0.2028542459011078,0.9139330590459246,0.8712105151579393,0.9610617399438728,0.9610617399438728,0.4899193548387097,0.859680928208847,0.7355711925525816,0.4711423851051631,1265,1215,333,8219
Overall,lr_margin,0.8818313816424757,0.9546122893977609,0.46169354838709675,0.0401310920715332,0.9135367331203877,0.8634186966479284,0.9698316183348924,0.9698316183348924,0.5290322580645161,0.8576867295141407,0.7203996801351882,0.44079936027037625,1168,1312,258,8294
Overall,lr_maxlogit,0.933168528772745,0.980428110873298,0.3951612903225806,-9.829644203186035,0.9216595008096488,0.8820134658544405,0.9650374181478016,0.9650374181478016,0.44516129032258067,0.8728245105148659,0.7599380639126105,0.519876127825221,1376,1104,299,8253
Overall,lr_energy,0.934024252014243,0.9808484417254335,0.37943548387096776,-9.83559799194336,0.922713200112581,0.8896125040703354,0.9583723105706268,0.9583723105706268,0.41008064516129034,0.8755438723712835,0.7741458327046682,0.5482916654093364,1463,1017,356,8196
Overall,mlp_msp,0.8677502338634238,0.951910197948216,0.5423387096774194,1.633167266845703e-05,0.9035940325497287,0.8743438320209974,0.9348690364826941,0.9348690364826941,0.46330645161290324,0.8453589557650472,0.7357812924348954,0.4715625848697909,1331,1149,557,7995
Overall,mlp_entropy,0.8711622352062525,0.9551672160075082,0.5423387096774194,0.00022577976051252335,0.9036492220650636,0.8753699440973364,0.9338166510757717,0.9338166510757717,0.4584677419354839,0.8456308919506889,0.7376744545701439,0.4753489091402878,1343,1137,566,7986
Overall,mlp_margin,0.8653832625456411,0.9486372254901683,0.542741935483871,3.2961368560791016e-05,0.9034451495920217,0.876429199648197,0.932179607109448,0.932179607109448,0.4532258064516129,0.845540246555475,0.7394769003289176,0.4789538006578351,1356,1124,580,7972
Overall,mlp_maxlogit,0.8677502338634238,0.951910197948216,0.5423387096774194,1.633180545468349e-05,0.9035940325497287,0.8743438320209974,0.9348690364826941,0.9348690364826941,0.46330645161290324,0.8453589557650472,0.7357812924348954,0.4715625848697909,1331,1149,557,7995
Overall,gnb_msp,0.7256170269546456,0.8735919044047721,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,gnb_entropy,0.8376211752014243,0.9276483661505318,0.5278225806451613,1.7146593578250495e-42,0.9040648575610855,0.8717698154180239,0.938844714686623,0.938844714686623,0.4762096774193548,0.845540246555475,0.731317518633634,0.4626350372672682,1299,1181,523,8029
Overall,gnb_margin,0.753689808458312,0.885809620548844,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,gnb_maxlogit,0.7256170269546456,0.8735919044047721,1.0,-0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,lda_msp,0.6831639788089562,0.8545356039968457,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,lda_entropy,0.7903488667053924,0.9131325313215795,0.7193548387096774,4.5899227334968525e-200,0.8842049656629688,0.806417421468491,0.978601496725912,0.978601496725912,0.8100806451612903,0.8013052936910805,0.5842604257823109,0.1685208515646217,471,2009,183,8369
Overall,lda_margin,0.6851352683016989,0.8552960414201785,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,lda_maxlogit,0.9093086601134615,0.9742385820772776,0.5532258064516129,-314.26692571283763,0.9005124777183601,0.8598936170212766,0.9451590271281571,0.9451590271281571,0.5310483870967742,0.8381073241479333,0.7070553200156915,0.414110640031383,1163,1317,469,8083
Overall,lda_energy,0.909308801563113,0.9742386916751566,0.5532258064516129,-314.26692571283763,0.9005124777183601,0.8598936170212766,0.9451590271281571,0.9451590271281571,0.5310483870967742,0.8381073241479333,0.7070553200156915,0.414110640031383,1163,1317,469,8083
Overall,qda_msp,0.506990323900842,0.7784504473751148,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,qda_entropy,0.5829370464181177,0.802061677272658,0.8116935483870967,2.5331525906e-314,0.8792987188132164,0.7901556819241167,0.9911131898971001,0.9911131898971001,0.9076612903225807,0.7890681653372009,0.5417259497872597,0.08345189957451937,229,2251,76,8476
Overall,qda_margin,0.5073420856091012,0.7786465087392573,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0.5,0.0,0,2480,0,8552
Overall,qda_maxlogit,0.9542721095235221,0.9862484909262715,0.2754032258064516,-71.75105485927452,0.937786583639966,0.9089213211895095,0.9685453695042096,0.9685453695042096,0.3346774193548387,0.9003807106598984,0.8169339750746853,0.6338679501493709,1650,830,269,8283
Overall,qda_energy,0.9542691390808413,0.9862476703150315,0.2754032258064516,-72.22708359714817,0.9378288171069752,0.9083835616438356,0.9692469597754911,0.9692469597754911,0.3370967741935484,0.9003807106598984,0.8160750927909715,0.6321501855819427,1644,836,263,8289
Near-OOD,centroid,0.8373284290044806,0.8188437487017546,0.584274193548387,0.058868467807769775,0.7866368176338902,0.7283163265306123,0.8551104455260202,0.8551104455260202,0.3435483870967742,0.7594641817122889,0.755781029214623,0.511562058429246,1628,852,387,2284
Near-OOD,radius,0.7357919892271833,0.7542543671975818,0.8024193548387096,-0.12405186891555786,0.713526284701713,0.5891246037551816,0.904530138524897,0.904530138524897,0.6794354838709677,0.623374102116094,0.6125473273269646,0.2250946546539293,795,1685,255,2416
Near-OOD,mahalanobis,0.8370209900846608,0.8194384639968488,0.594758064516129,3.21288800239563,0.7864671880312819,0.7203363438181252,0.865967802321228,0.865967802321228,0.3620967741935484,0.7561638516792856,0.7519355140638398,0.5038710281276797,1582,898,358,2313
