model,score,threshold_source,id_percentile,threshold,accuracy,balanced_acc,f1,precision,recall_tpr,fpr,specificity,youden_j,tn,fp,fn,tp
GNB,Entropy,id_percentile,50,7.640420607183751e-45,0.8438179840464104,0.7217609915809167,0.9035328369072281,0.8667955741755291,0.9435219831618334,0.5,0.5,0.44352198316183344,1240,1240,483,8069
GNB,Entropy,id_percentile,60,1.529087551538182e-36,0.8439086294416244,0.7573199251637044,0.9008407232523321,0.887451781257091,0.9146398503274088,0.4,0.6,0.5146398503274088,1488,992,730,7822
GNB,Entropy,id_percentile,70,3.625322800349445e-27,0.821972443799855,0.7786716557530402,0.8818859754630743,0.9078751857355126,0.8573433115060805,0.3,0.7,0.5573433115060804,1736,744,1220,7332
GNB,Entropy,id_percentile,80,1.1762797270659694e-17,0.7347715736040609,0.7579279700654817,0.8071193144363876,0.9250528860682986,0.7158559401309635,0.2,0.8,0.5158559401309635,1984,496,2430,6122
GNB,Entropy,id_percentile,85,5.694414810161775e-14,0.6695975344452502,0.7336412535079513,0.7433640780116877,0.9341709431958946,0.6172825070159027,0.15,0.85,0.4672825070159027,2108,372,3273,5279
GNB,Entropy,id_percentile,90,1.9401671899126444e-09,0.5598259608411893,0.6805893358278765,0.6189579409918393,0.9408396946564885,0.46117867165575305,0.1,0.9,0.361178671655753,2232,248,4608,3944
GNB,Entropy,id_percentile,92.5,2.707235629804626e-07,0.49827773749093546,0.6497661365762395,0.5364709823297881,0.9451165535556211,0.37453227315247895,0.075,0.925,0.29953227315247893,2294,186,5349,3203
GNB,Entropy,id_percentile,95,0.0002373312350595059,0.3944887599709935,0.5916978484565014,0.3740629685157421,0.9415094339622642,0.2333956969130028,0.05,0.95,0.18339569691300278,2356,124,6556,1996
GNB,Entropy,id_percentile,97.5,0.01495199257494346,0.3250543872371284,0.555788119738073,0.23880597014925373,0.9495934959349593,0.13657623947614594,0.025,0.975,0.11157623947614595,2418,62,7384,1168
GNB,Entropy,id_percentile,99,0.23028391386153585,0.2692168237853517,0.5250695932285223,0.11328640563132424,0.9537037037037037,0.06021983161833489,0.010080645161290322,0.9899193548387096,0.05013918645704457,2455,25,8037,515
GNB,Margin,id_percentile,50,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,Margin,id_percentile,60,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,Margin,id_percentile,70,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,Margin,id_percentile,80,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,Margin,id_percentile,85,1.7319479184152846e-15,0.6688723712835388,0.7331735266604302,0.742655864741106,0.9340776182881446,0.6163470533208606,0.15,0.85,0.46634705332086057,2108,372,3281,5271
GNB,Margin,id_percentile,90,1.600268806356531e-10,0.5597353154459753,0.6805308699719363,0.6188495644667661,0.9408255786208543,0.4610617399438728,0.1,0.9,0.3610617399438728,2232,248,4609,3943
GNB,Margin,id_percentile,92.5,2.8392557296919696e-08,0.49827773749093546,0.6497661365762395,0.5364709823297881,0.9451165535556211,0.37453227315247895,0.075,0.925,0.29953227315247893,2294,186,5349,3203
GNB,Margin,id_percentile,95,3.989720197205496e-05,0.39430746918056564,0.5915809167446211,0.3737582005623243,0.9414542020774316,0.23316183348924227,0.05,0.95,0.18316183348924225,2356,124,6558,1994
GNB,Margin,id_percentile,97.5,0.004026246675008046,0.3259608411892676,0.5563727782974742,0.2406045751633987,0.95,0.13774555659494855,0.025,0.975,0.11274555659494856,2418,62,7374,1178
GNB,Margin,id_percentile,99,0.11643768710483278,0.26903553299492383,0.524952661516642,0.11287128712871287,0.9535315985130112,0.05998596819457437,0.010080645161290322,0.9899193548387096,0.04990532303328405,2455,25,8039,513
GNB,MaxLogit,id_percentile,50,-0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MaxLogit,id_percentile,60,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MaxLogit,id_percentile,70,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MaxLogit,id_percentile,80,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MaxLogit,id_percentile,85,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MaxLogit,id_percentile,90,8.001279639167983e-11,0.5598259608411893,0.6805893358278765,0.6189579409918393,0.9408396946564885,0.46117867165575305,0.1,0.9,0.361178671655753,2232,248,4608,3944
GNB,MaxLogit,id_percentile,92.5,1.4196276499689487e-08,0.49827773749093546,0.6497661365762395,0.5364709823297881,0.9451165535556211,0.37453227315247895,0.075,0.925,0.29953227315247893,2294,186,5349,3203
GNB,MaxLogit,id_percentile,95,2.008833573659669e-05,0.39439811457577956,0.5916393826005613,0.37391059881922967,0.9414818310523831,0.23327876520112253,0.05,0.95,0.18327876520112252,2356,124,6557,1995
GNB,MaxLogit,id_percentile,97.5,0.002047606566979001,0.3257795503988397,0.556255846585594,0.24024514811031664,0.9499192245557351,0.13751169317118803,0.025,0.975,0.11251169317118803,2418,62,7376,1176
GNB,MaxLogit,id_percentile,99,0.059983014942196704,0.2692168237853517,0.5250695932285223,0.11328640563132424,0.9537037037037037,0.06021983161833489,0.010080645161290322,0.9899193548387096,0.05013918645704457,2455,25,8037,515
LDA,MSP,id_percentile,50,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
LDA,MSP,id_percentile,60,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
LDA,MSP,id_percentile,70,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
LDA,MSP,id_percentile,80,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
LDA,MSP,id_percentile,85,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
LDA,MSP,id_percentile,90,8.413492125214351e-13,0.515319071791153,0.6518826005612722,0.563617073369787,0.9329910834909484,0.40376520112254444,0.1,0.9,0.30376520112254446,2232,248,5099,3453
LDA,MSP,id_percentile,92.5,3.3207699257077033e-09,0.4501450326323423,0.6187207670720299,0.46836108676599475,0.9349195241427571,0.3124415341440599,0.075,0.925,0.23744153414405988,2294,186,5880,2672
LDA,MSP,id_percentile,95,4.0120582847741e-06,0.38179840464104425,0.5835126286248831,0.35244967717432585,0.9373737373737374,0.21702525724976612,0.05,0.95,0.16702525724976613,2356,124,6696,1856
LDA,MSP,id_percentile,97.5,0.0016495643568514703,0.3139956490210297,0.5486552853133769,0.2165631469979296,0.944043321299639,0.12231057062675398,0.025,0.975,0.09731057062675397,2418,62,7506,1046
LDA,MSP,id_percentile,99,0.05567608457206229,0.2648658448150834,0.522263232143396,0.10327288810260947,0.9491869918699187,0.05460710944808232,0.010080645161290322,0.9899193548387096,0.044526464286792,2455,25,8085,467
